county,value_1,value_2,value_3,value_4
Mombasa,39.4,60.6,0,782450
Kwale,73.1,26.9,0,517666
Kilifi,43.3,56.7,0,858379
Tana River,54.5,45.5,0,158531
Lamu,93.5,6.5,0,103172
Taita-Taveta,43.7,56.3,0,212006
Garissa,89.3,10.7,0,497232
Wajir,95.2,4.8,0,446582
Mandera,90.1,9.9,0,360427
Marsabit,73.4,26.6,0,236235
Isiolo,92.8,7.2,0,140195
Meru,44,56,0,965240
Tharaka-Nithi,69.6,30.4,0,234659
Embu,35.3,64.7,0,423095
Kitui,61.5,38.5,0,675990
Machakos,50.3,49.7,0,906382
Makueni,24,76,0,651569
Nyandarua,53.9,46.1,0,403392
Nyeri,36.3,63.7,0,529451
Kirinyaga,50.9,49.1,0,418563
Murang'a,29.3,70.7,0,648880
Kiambu,46.8,52.1,1.2,1562302
Turkana,75.2,24.8,0,393839
West Pokot,75.5,24.5,0,301155
Samburu,67.1,32.9,0,134807
Trans Nzoia,20.7,79,0.3,589829
Uasin Gishu,48.8,51.2,0,723932
Elgeyo-Marakwet,64.5,35.5,0,246373
Nandi,31.6,68.4,0,538299
Baringo,31.1,68.9,0,339062
Laikipia,18.6,81.4,0,330961
Nakuru,21.1,78.9,0,1281346
Narok,66.3,33.7,0,581781
Kajiado,79.7,20.3,0,753613
Kericho,41.9,58.1,0,528064
Bomet,66.2,33.8,0,496555
Kakamega,21.3,78.7,0,1145830
Vihiga,34.4,65.2,0.4,350577
Bungoma,35.9,63.8,0.3,896366
Busia,17.8,82.2,0,505047
Siaya,40.9,59.1,0,550475
Kisumu,39.9,59.9,0.2,672041
Homa Bay,65.3,34.7,0,523438
Migori,23,77,0,521546
Kisii,59.1,40.9,0,766133
Nyamira,66.8,33.2,0,325375
Nairobi,38.4,61.6,0,2956206
