county,value_1,value_2,value_3,value_4
Mombasa,74.8,25.2,0,782450
Kwale,95.9,4.1,0,517666
Kilifi,87.8,12.2,0,858379
Tana River,81.3,18.7,0,158531
Lamu,97.8,2.2,0,103172
Taita-Taveta,77.6,22.4,0,212006
Garissa,97.5,2.5,0,497232
Wajir,96.3,3.7,0,446582
Mandera,97.3,2.7,0,360427
Marsabit,90.5,9.5,0,236235
Isiolo,91,9,0,140195
Meru,88.2,11.8,0,965240
Tharaka-Nithi,94.8,5.2,0,234659
Embu,83.2,16.8,0,423095
Kitui,65.5,34.5,0,675990
Machakos,75.5,24.5,0,906382
Makueni,41.1,58.9,0,651569
Nyandarua,83.1,16.9,0,403392
Nyeri,74.7,25.3,0,529451
Kirinyaga,82.4,17.6,0,418563
Murang'a,76.5,23.5,0,648880
Kiambu,88.4,10.4,1.2,1562302
Turkana,77.2,22.8,0,393839
West Pokot,96.8,3.2,0,301155
Samburu,64.1,35.9,0,134807
Trans Nzoia,70.2,29.5,0.3,589829
Uasin Gishu,86.7,13.3,0,723932
Elgeyo-Marakwet,92.8,7.2,0,246373
Nandi,88.1,11.9,0,538299
Baringo,92.9,7.1,0,339062
Laikipia,72.4,27.6,0,330961
Nakuru,79.3,20.7,0,1281346
Narok,82.4,17.6,0,581781
Kajiado,94,6,0,753613
Kericho,93.9,6.1,0,528064
Bomet,76.2,23.8,0,496555
Kakamega,98.7,1.3,0,1145830
Vihiga,95.8,3.8,0.4,350577
Bungoma,97.5,2.2,0.3,896366
Busia,89.9,10.1,0,505047
Siaya,62.4,37.6,0,550475
Kisumu,55.5,44.3,0.2,672041
Homa Bay,90,10,0,523438
Migori,79.4,20.6,0,521546
Kisii,80.8,19.2,0,766133
Nyamira,63.2,36.8,0,325375
Nairobi,84.5,15.5,0,2956206
