county,value_1,value_2,value_3
Mombasa,98.7,1.3,474336
Kwale,95.5,4.5,139028
Kilifi,98.3,1.7,487050
Tana River,92.4,7.6,72067
Lamu,99.1,0.9,6713
Taita-Taveta,96.4,3.6,119358
Garissa,93.9,6.1,53233
Wajir,77.4,22.6,21644
Mandera,98.8,1.2,35513
Marsabit,79.5,20.5,62937
Isiolo,94.8,5.2,10064
Meru,99,1,540121
Tharaka-Nithi,97.4,2.6,71236
Embu,96.4,3.6,273715
Kitui,99.4,0.6,259975
Machakos,98.8,1.2,450376
Makueni,99.5,0.5,495460
Nyandarua,93,7,186155
Nyeri,95.1,4.9,337231
Kirinyaga,83.6,16.4,205572
Murang'a,97.7,2.3,458816
Kiambu,98.2,1.8,813714
Turkana,94.7,5.3,97607
West Pokot,99,1,73787
Samburu,94.5,5.5,44316
Trans Nzoia,87.6,12.4,465777
Uasin Gishu,94,6,370308
Elgeyo-Marakwet,89.1,10.9,87408
Nandi,90.9,9.1,368373
Baringo,98.8,1.2,233595
Laikipia,92.4,7.6,269496
Nakuru,97.9,2.1,1010856
Narok,90.7,9.3,196209
Kajiado,91.5,8.5,153171
Kericho,93.1,6.9,306891
Bomet,58.7,41.3,167639
Kakamega,99.9,0.1,901815
Vihiga,99.5,0.5,228523
Bungoma,96.4,3.6,572017
Busia,99.9,0.1,415128
Siaya,99.7,0.3,325458
Kisumu,92,8,402622
Homa Bay,88.8,11.2,181738
Migori,95.2,4.8,401334
Kisii,97.6,2.4,313318
Nyamira,90.2,9.8,108031
Nairobi,94.8,5.2,1819702
