county,value_1,value_2
Mombasa,37.5,62.5
Kwale,67.5,32.5
Kilifi,57.8,42.2
Tana River,32.6,67.4
Lamu,78.6,21.4
Taita-Taveta,62.9,37.1
Garissa,66.7,33.3
Wajir,75.1,24.9
Mandera,51.1,48.9
Marsabit,48.3,51.7
Isiolo,46.5,53.5
Meru,75.7,24.3
Tharaka-Nithi,79.1,20.9
Embu,79.5,20.5
Kitui,65.5,34.5
Machakos,67.2,32.8
Makueni,81.5,18.5
Nyandarua,80.7,19.3
Nyeri,63,37
Kirinyaga,67.1,32.9
Murang'a,69.7,30.3
Kiambu,37.7,62.3
Turkana,40.2,59.8
West Pokot,71.4,28.6
Samburu,32.1,67.9
Trans Nzoia,75.8,24.2
Uasin Gishu,73.3,26.7
Elgeyo-Marakwet,81.3,18.7
Nandi,80.5,19.5
Baringo,76.2,23.8
Laikipia,68.3,31.7
Nakuru,63,37
Narok,61.2,38.8
Kajiado,47.7,52.3
Kericho,86,14
Bomet,85.7,14.3
Kakamega,78.1,21.9
Vihiga,74.3,25.7
Bungoma,71.9,28.1
Busia,71,29
Siaya,65.6,34.4
Kisumu,63.7,36.3
Homa Bay,71.5,28.5
Migori,52.7,47.3
Kisii,76.7,23.3
Nyamira,82.5,17.5
Nairobi,39,61
