county,value_1,value_2
Mombasa,56.6,405415
Kwale,4,183739
Kilifi,4.7,407221
Tana River,4.2,74962
Lamu,18,40543
Taita-Taveta,23.6,108463
Garissa,10.3,180468
Wajir,3.8,152058
Mandera,4.3,167096
Marsabit,6.5,87421
Isiolo,5.6,63947
Meru,15.4,463535
Tharaka-Nithi,9.4,120886
Embu,12.3,199046
Kitui,10.3,275514
Machakos,11.8,430469
Makueni,5.2,257105
Nyandarua,23.2,198250
Nyeri,34.4,270743
Kirinyaga,11.7,217216
Murang'a,18.2,385599
Kiambu,36.3,997101
Turkana,7,219588
West Pokot,4.2,183115
Samburu,14.5,95708
Trans Nzoia,11.9,266538
Uasin Gishu,37.7,351899
Elgeyo-Marakwet,7.2,110356
Nandi,11.3,226515
Baringo,9,157303
Laikipia,16.4,154631
Nakuru,25.3,673026
Narok,7.8,263863
Kajiado,4.9,371234
Kericho,11.1,233615
Bomet,10.1,219222
Kakamega,8.4,484205
Vihiga,2.4,160520
Bungoma,8.3,470168
Busia,5.4,216855
Siaya,4.1,247647
Kisumu,13,338619
Homa Bay,9.7,270043
Migori,6.4,267547
Kisii,4.2,371985
Nyamira,7.3,183594
Nairobi,75.4,1661533
