county,value_1,value_2
Mombasa,47.1,52.9
Kwale,12.7,87.3
Kilifi,19.8,80.2
Tana River,6,94
Lamu,18,82
Taita-Taveta,20.8,79.2
Garissa,2.7,97.3
Wajir,2.2,97.8
Mandera,1.1,98.9
Marsabit,5.7,94.3
Isiolo,20.7,79.3
Meru,12.4,87.6
Tharaka-Nithi,14.6,85.4
Embu,21.6,78.4
Kitui,18.2,81.8
Machakos,30.2,69.8
Makueni,9.1,90.9
Nyandarua,18,82
Nyeri,36.9,63.1
Kirinyaga,29.2,70.8
Murang'a,19,81
Kiambu,65.8,34.2
Turkana,3.1,96.9
West Pokot,2.7,97.3
Samburu,6.1,93.9
Trans Nzoia,20,80
Uasin Gishu,36,64
Elgeyo-Marakwet,6.1,93.9
Nandi,12.8,87.2
Baringo,3.1,96.9
Laikipia,32.8,67.2
Nakuru,29.7,70.3
Narok,15.3,84.7
Kajiado,55.9,44.1
Kericho,8,92
Bomet,6.7,93.3
Kakamega,17.4,82.6
Vihiga,11.5,88.5
Bungoma,11.2,88.8
Busia,15.9,84.1
Siaya,9.9,90.1
Kisumu,33.3,66.7
Homa Bay,20.6,79.4
Migori,10.5,89.5
Kisii,16.1,83.9
Nyamira,11.8,88.2
Nairobi,95.2,4.8
