county,value_1,value_2,value_3,value_4
Mombasa,20.2,79.8,0,782450
Kwale,12.2,87.8,0,517666
Kilifi,9.9,90.1,0,858379
Tana River,29.6,70.4,0,158531
Lamu,4.3,95.7,0,103172
Taita-Taveta,5.2,94.8,0,212006
Garissa,1.4,98.6,0,497232
Wajir,4.4,95.6,0,446582
Mandera,14.4,85.6,0,360427
Marsabit,2.2,97.8,0,236235
Isiolo,3.7,96.3,0,140195
Meru,17.4,82.6,0,965240
Tharaka-Nithi,10.8,89.2,0,234659
Embu,16.5,83.5,0,423095
Kitui,7.1,92.9,0,675990
Machakos,11.9,88.1,0,906382
Makueni,7.3,92.7,0,651569
Nyandarua,15.6,84.4,0,403392
Nyeri,6.9,93.1,0,529451
Kirinyaga,10,90,0,418563
Murang'a,7.3,92.7,0,648880
Kiambu,14.8,84.1,1.2,1562302
Turkana,9.8,90.2,0,393839
West Pokot,9.1,90.9,0,301155
Samburu,5.2,94.8,0,134807
Trans Nzoia,7.5,92.2,0.3,589829
Uasin Gishu,4.9,95.1,0,723932
Elgeyo-Marakwet,10.5,89.5,0,246373
Nandi,2.5,97.5,0,538299
Baringo,9.5,90.5,0,339062
Laikipia,18.2,81.8,0,330961
Nakuru,13.2,86.8,0,1281346
Narok,4.2,95.8,0,581781
Kajiado,27,73,0,753613
Kericho,3.2,96.8,0,528064
Bomet,5.6,94.4,0,496555
Kakamega,2.2,97.8,0,1145830
Vihiga,1.9,97.7,0.4,350577
Bungoma,11.7,88,0.3,896366
Busia,2.6,97.4,0,505047
Siaya,6.3,93.7,0,550475
Kisumu,12.4,87.4,0.2,672041
Homa Bay,2.8,97.2,0,523438
Migori,18.6,81.4,0,521546
Kisii,6.8,93.2,0,766133
Nyamira,12.5,87.5,0,325375
Nairobi,31,69,0,2956206
