county,value_1,value_2,value_3
Mombasa,83.3,16.7,16945
Kwale,44,56,5635
Kilifi,100,-,17717
Tana River,64.2,35.8,8606
Lamu,85.7,14.3,2661
Taita-Taveta,86.7,13.3,8355
Garissa,100,-,1643
Wajir,5,95,1980
Mandera,92.3,7.7,4022
Marsabit,13.8,86.2,15045
Isiolo,93.4,6.6,2166
Meru,100,-,18159
Tharaka-Nithi,97.3,2.7,3299
Embu,91.8,8.2,45881
Kitui,100,-,4733
Machakos,79.6,20.4,11998
Makueni,88.7,11.3,17766
Nyandarua,100,-,16151
Nyeri,85.5,14.5,19785
Kirinyaga,80.8,19.2,23590
Murang'a,91.3,8.7,50767
Kiambu,89.3,10.7,116998
Turkana,97.7,2.3,13675
West Pokot,94.5,5.5,1995
Samburu,100,-,4979
Trans Nzoia,88.3,11.7,21900
Uasin Gishu,89.4,10.6,27344
Elgeyo-Marakwet,95.7,4.3,13511
Nandi,86.6,13.4,37193
Baringo,100,-,13588
Laikipia,95.1,4.9,23298
Nakuru,100,-,42627
Narok,67.5,32.5,16059
Kajiado,65.9,34.1,15438
Kericho,97.8,2.2,25108
Bomet,84.5,15.5,65201
Kakamega,100,-,7088
Vihiga,82,18,3280
Bungoma,60.7,39.3,17809
Busia,95.4,4.6,5655
Siaya,64.7,35.3,9995
Kisumu,83.6,16.4,77565
Homa Bay,82.6,17.4,38486
Migori,97.3,2.7,66002
Kisii,95.9,4.1,28204
Nyamira,61.4,38.6,15359
Nairobi,96.1,3.9,157620
