county,value_1,value_2,value_3,value_4
Mombasa,18.4,12.4,15.4,
Kwale,5.1,4.7,4.9,
Kilifi,7.6,5.2,6.4,
Tana River,5.6,1.9,3.7,
Lamu,5.2,3.7,4.4,
Taita-Taveta,15,11.8,13.4,
Garissa,6.6,2.7,4.6,
Wajir,2.6,1.4,2,
Mandera,5.4,1.9,3.6,
Marsabit,3.3,3.7,3.5,
Isiolo,12.7,10.1,11.3,
Meru,9.8,11.2,10.5,
Tharaka-Nithi,13.6,10.3,11.9,
Embu,15.2,11.2,13.2,
Kitui,6.2,7.8,7,
Machakos,14,12.9,13.5,
Makueni,4,5,4.5,
Nyandarua,13.9,13.3,13.6,
Nyeri,23.4,19.4,21.3,
Kirinyaga,13.7,11.6,12.6,
Murang'a,11.8,11.6,11.7,
Kiambu,16.7,12.7,14.7,
Uasin Gishu,13.8,8.2,10.9,
Elgeyo-Marakwet,11.8,9.5,10.6,
Nandi,9.1,8.6,8.8,
Baringo,5.3,5.1,5.2,
Laikipia,15.7,11.6,13.6,
Nakuru,14.5,13,13.8,
Narok,7.3,6.2,6.7,
Kajiado,13.4,11.3,12.4,
Kericho,12.6,6.8,9.6,
Bomet,11.3,6.5,8.8,
Kakamega,7.9,5,6.4,
Vihiga,7.2,5.2,6.2,
Bungoma,11.7,8.9,10.3,
Busia,9.6,6.9,8.2,
Siaya,10.9,8,9.5,
Kisumu,18.9,12.7,15.8,
Homa Bay,13,9.9,11.4,
Migori,14.5,9.6,12,
Kisii,11.1,8.4,9.8,
Nyamira,15.4,9.8,12.5,
Nairobi,31.2,24.4,27.8,
Migori,14.5,9.6,12,
Kisii,11.1,8.4,9.8,
Nyamira,15.4,9.8,12.5,
Nairobi,31.2,24.4,27.8,
