county,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16
Mombasa,405415,5.9,30.1,31.5,20.2,11.1,0.2,0.6,0.2,99.8,0,0,0,0,0,0.2
Kwale,183739,18.5,9.3,8.7,24.1,9.3,0.6,1.5,0,72,2.7,6.5,18.3,27.5,0.5,0
Kilifi,407221,49.2,16,2.1,6.9,0,0,0.3,0.2,74.7,3.3,5.1,13.4,21.8,3.5,0
Tana River,74962,9.6,4,11.1,24.8,1.2,0.5,0,0,51.1,0.1,0.4,48.4,48.9,0,0
Lamu,40543,18.7,15.3,18.4,25.4,4,0,0.8,5.6,88.2,0.1,9,0,9.1,2.7,0
Taita-Taveta,108463,54.2,1.6,6.1,11,1.2,10.9,4.1,0,89,0.7,0.2,8.6,9.5,1.5,0
Garissa,180468,28.9,9.6,0.3,37.1,0.8,0,0,0,76.6,0,10.7,12.5,23.3,0.1,0
Wajir,152058,7.6,0.2,2.9,53.9,19.1,0,1,0.1,84.9,0,0.6,10.3,10.8,4.3,0
Mandera,167096,2.8,5.1,5,31.2,4.9,0,0,0,49,0,0.3,49.5,49.8,1,0.2
Marsabit,87421,0,1.7,8.1,30.2,1.9,1.7,23.3,0.3,67.1,0.9,2,29.9,32.9,0,0
Isiolo,63947,42.6,0.1,3,28.6,3.8,0,0,0,78.2,0,4.5,16.7,21.2,0.6,0
Meru,463535,13.6,8.4,3.4,16.4,0.6,2.4,4.3,0,49.1,1.8,1,47.5,50.3,0.6,0
Tharaka-Nithi,120886,39,17.6,0.3,1.2,1.6,0.2,0.5,0,60.5,0.3,2.3,36.9,39.5,0,0
Embu,199046,59.5,0,3,4.1,3.9,0,5.8,0,76.2,0,2.1,21.7,23.8,0,0
Kitui,275514,17.6,11.5,4.4,10.5,3.7,0,3.8,0,51.5,1,1.6,45.7,48.3,0.2,0
Machakos,430469,6.5,13.9,19.9,11.3,0.9,2.7,17.5,0,72.8,2.5,1.4,23.1,27,0.2,0
Makueni,257105,17.1,3.7,4.6,10.6,3,2.2,11.8,0.1,53.1,11.2,3.9,29.9,45,1.4,0.5
Nyandarua,198250,32.4,3.5,6.4,11.2,23.9,0,17.1,0.1,94.6,0.6,0,4.9,5.4,0,0
Nyeri,270743,62.1,2.2,2.5,0.8,4.2,1.4,16.6,0,89.7,4,0,6.3,10.3,0,0
