county,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16
Kirinyaga,217216,41,17.7,6.3,3.1,4.6,0.4,1.2,0,74.3,0,0.4,25.1,25.6,0,0.1
Murang'a,385599,46.9,1.4,7.2,3.2,2.9,2.9,16.6,0,81,0,0.2,18,18.2,0.4,0.5
Kiambu,997101,54,8.6,13.3,5.2,4.4,0,4.2,0.3,90,1,0,5.4,6.4,0.3,3.4
Turkana,219588,13.7,1.2,0.5,40.1,0.3,0,0,0,55.8,0,18.4,25.8,44.2,0,0
West Pokot,183115,1.6,1.4,2.9,10.8,1.2,7.2,0,0,25.2,42.2,0.6,31.7,74.5,0.4,0
Samburu,95708,5.7,1.3,13.9,30.2,0.6,0.4,2.6,0.6,55.3,0,1.2,41.6,42.8,1.9,0
Trans Nzoia,266538,18.1,1.5,40.6,7.5,0.6,17.6,0.3,0,86.2,4.1,0,9.7,13.8,0,0
Uasin Gishu,351899,30.5,0,26.2,12.9,16.2,1.2,0.8,0,87.9,2.7,5.2,4.2,12.1,0,0
Elgeyo-Marakwet,110356,7.2,2.8,2.4,1.3,15.5,1.5,0.5,0,31.3,3,9.6,54,66.7,2.1,0
Nandi,226515,9.9,5,10,3.7,16.3,4.6,3.3,0,52.8,2.9,7.4,36.9,47.2,0,0
Baringo,157303,13,0.7,3.2,24.5,5.3,0.3,6.6,0,53.6,1.5,1.4,42.7,45.6,0.8,0
Laikipia,154631,40,3.6,20.2,7.1,0.5,0,7,0,78.3,1.3,0,18.3,19.6,2.1,0
Nakuru,673026,31.3,3.2,20.6,6.8,7.4,0.7,15.8,1.3,87.1,2.3,0.1,10.3,12.8,0.2,0
Narok,263863,10.4,2.3,5.9,9.7,0.7,0,34.9,0,63.9,1.5,0.4,34.2,36.1,0,0
Kajiado,371234,21.8,7.8,11.2,37.3,2,0.4,5.5,0,86.1,0,0,12.2,12.2,0.8,0.9
Kericho,233615,14.3,1.2,5.1,9,10,3.8,8.1,0,51.5,2.8,5.1,40.6,48.5,0,0
Bomet,219222,2.2,5.9,9.3,5.3,3,1.3,6.8,0,33.8,1.6,11.1,53.6,66.2,0,0
Kakamega,484205,8.6,0.6,19.9,5.2,5.2,37.5,16.7,0,93.6,5.1,0.6,0.2,6,0.3,0
Vihiga,160520,4,0,1.8,4.1,4,51.2,19.2,0,84.4,7.9,0.7,7.1,15.6,0,0
Bungoma,470168,14.7,0.1,11.1,12.4,21.3,4.6,0.4,0,64.7,17.6,8.8,8.9,35.3,0,0
Busia,216855,2.4,0.8,12.4,24.5,29.6,2.8,1.3,0,73.8,3.4,2.3,20.6,26.2,0,0
Siaya,247647,10.8,2.5,6.2,7.8,8.2,2,23,0.1,60.5,0.7,2,36.8,39.5,0,0
Kisumu,338619,39.8,2,6.5,5.9,19.8,0.7,5.8,0,80.5,0.2,2.9,15.9,19,0.2,0.2
Homa Bay,270043,6.1,6.9,5.2,7.7,6.6,9.3,6.7,0.3,48.8,4.7,2.2,44,50.9,0,0.3
Migori,267547,1.5,0.8,4.8,5.6,17.2,1.9,5.3,0.1,37.2,5.8,6.4,50.6,62.8,0,0
Kisii,371985,1.6,1.9,0.6,0.9,21.4,29.8,12.1,0,68.2,0.7,1.3,29.4,31.4,0.4,0
Nyamira,183594,1.6,0,5,2.5,19.5,36.9,17.4,0,82.9,3,0.9,13.1,17,0.1,0
Nairobi,1661533,60,4.5,16.2,17.8,0.5,0,0.2,0,99.4,0,0,0,0,0.5,0.1
