county,value_1,value_2
Mombasa,69.3,30.7
Kwale,65.5,34.5
Kilifi,74.4,25.6
Tana River,41.8,58.2
Lamu,78.2,21.8
Taita-Taveta,83.5,16.5
Garissa,44,56
Wajir,19.8,80.2
Mandera,20.1,79.9
Marsabit,21.3,78.7
Isiolo,45.7,54.3
Meru,58.1,41.9
Tharaka-Nithi,76.2,23.8
Embu,86.5,13.5
Kitui,66.2,33.8
Machakos,81.4,18.6
Makueni,77.5,22.5
Nyandarua,83.8,16.2
Nyeri,85.2,14.8
Kirinyaga,89.6,10.4
Murang'a,78.8,21.2
Kiambu,80.4,19.6
Turkana,22.4,77.6
West Pokot,28,72
Samburu,50.2,49.8
Trans Nzoia,61.9,38.1
Uasin Gishu,71.2,28.8
Elgeyo-Marakwet,51.2,48.8
Nandi,73,27
Baringo,37.6,62.4
Laikipia,83.8,16.2
Nakuru,72.5,27.5
Narok,54.5,45.5
Kajiado,75.3,24.7
Kericho,56,44
Bomet,54.5,45.5
Kakamega,87.3,12.7
Vihiga,89.8,10.2
Bungoma,70.3,29.7
Busia,65.7,34.3
Siaya,68.1,31.9
Kisumu,79.5,20.5
Homa Bay,55.8,44.2
Migori,58.2,41.8
Kisii,78,22
Nyamira,79.2,20.8
Nairobi,65.2,34.8
