county,value_1,value_2,value_3,value_4
Mombasa,14.6,35.3,48.7,1.3
Kwale,9.9,6.3,72.4,11.3
Kilifi,10.3,26.4,63.3,-
Lamu,14.7,34.2,51.1,-
Taita-Taveta,2.3,39.2,49.3,9.3
Garissa,2.9,7.2,90,-
Wajir,-,1.3,41.7,57
Mandera,-,5.6,88.9,5.5
Marsabit,-,35.7,64.3,-
Isiolo,2.4,18.8,78.8,-
Meru,1.1,14,83.3,1.7
Tharaka-Nithi,53.7,13.3,32.1,0.8
Embu,-,63.9,36.1,-
Kitui,45.1,41.9,12,1
Machakos,5.3,40.6,48.8,5.3
Makueni,22.6,71.1,4.5,1.8
Nyandarua,3.6,34.9,56.8,4.8
Nyeri,6.2,25.4,58,10.3
Kirinyaga,1.8,11.4,67.9,18.9
Murang'a,-,6.1,38.8,55.2
Kiambu,-,7.6,84.1,8.3
Turkana,28.6,28.6,42.9,-
West Pokot,10.4,4.5,82.9,2.3
Samburu,3.3,28,66.9,1.7
Trans Nzoia,-,1.7,98.3,-
Uasin Gishu,-,31.2,65.6,3.2
Elgeyo-Marakwet,4.6,48.7,29.5,17.2
Nandi,19.7,38.7,37,4.6
Baringo,3.3,9.7,53.8,33.2
Laikipia,5.2,24.6,70.2,-
Nakuru,0.6,6.6,86.5,6.2
Narok,8.1,50.2,41.2,0.6
Kajiado,-,21.1,78.9,-
Kericho,2.5,38.9,52.3,6.3
Bomet,-,25.5,73.9,0.6
Kakamega,12,14.4,71.1,2.4
Vihiga,-,3.3,96.7,-
Bungoma,-,4.7,80.6,14.7
Busia,-,-,95.6,4.4
Siaya,-,-,87.7,12.3
Kisumu,-,1.4,86.3,12.4
Homa Bay,3.4,71.7,24.8,-
Migori,-,17.6,82.4,-
Kisii,9.1,9.8,81.1,-
Nyamira,7.3,26.9,43.7,22
Nairobi,2.1,17.2,79.6,1.1
