county,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16
Mombasa,83.4,0,0.2,2.1,6.9,0,0,92.7,4.1,0.2,0,3,0,0,7.3,405415
Kwale,55,0,0,27.8,10.8,0,0,93.5,4.4,0,0,1.7,0.3,0,6.5,183739
Kilifi,43,0,0,9.2,37.2,0,0,89.4,5.9,0.6,0.5,2.1,0,1.5,10.6,407221
Tana River,43,0,0,0.6,49.5,0,0.3,93.5,5.7,0.4,0.1,0,0.2,0,6.5,74962
Lamu,52.3,0,0,8.8,34.6,0,0,95.7,0.7,0.3,0.7,2.6,0,0,4.3,40543
Taita-Taveta,61.6,0,0,4.4,28.9,0.3,0,95.2,4.2,0,0,0.6,0,0,4.8,108463
Garissa,34.1,1.5,2.2,4.1,56.1,0,0,98,0,0.6,0,0.2,1.1,0.1,2,180468
Wajir,24.3,0.2,0,4.5,70.4,0,0,99.4,0,0.1,0.3,0,0.2,0,0.6,152058
Mandera,23.9,0.1,0,0,75.9,0,0,99.8,0,0,0,0,0.2,0,0.2,167096
Marsabit,34.2,0,0,0.1,56.4,0.4,0.3,91.4,0,0.1,3.4,0.3,4.8,0,8.6,87421
Isiolo,50.1,0,0,8,40.8,0,0,98.9,0.2,0,0.2,0.7,0,0,1.1,63947
Meru,52.2,0,0,14.6,22.3,0,0,89.1,7.4,0,0.8,2.1,0.7,0,10.9,463535
Tharaka-Nithi,52.3,0.1,0,23.1,20.1,0,0,95.6,3.6,0,0.3,0.5,0,0,4.4,120886
Embu,53.4,0,0,10.2,26.4,0,0,90,6.4,0,2.1,1.5,0,0,10,199046
Kitui,36.3,0,0,9.9,51.9,0.2,0,98.2,1.4,0,0.2,0,0,0.2,1.8,275514
Machakos,45.4,0,0.2,27.3,23.2,0,0,96.1,3.4,0,0,0.6,0,0,3.9,430469
Makueni,25.2,0,0,40.4,28.8,0,0,94.4,5.4,0,0,0,0,0.3,5.6,257105
Nyandarua,64.4,0,0,3.5,25.6,0,0,93.4,4.7,0.1,0,1.7,0,0,6.6,198250
Nyeri,83.3,0.1,0,1.8,5.8,0,0,91.1,6.1,0.3,0.3,1.8,0,0.5,8.9,270743
Kirinyaga,79.2,0,0,3.1,7.8,0.1,0,90.3,7.5,0.2,0,2,0,0,9.7,217216
Murang'a,84.2,0,0,3.4,5.6,0,0,93.3,4.4,0.4,0,2,0,0,6.7,385599
Kiambu,93.6,0.7,0,0,2.8,0,0,97,1.1,0,0,1,0.2,0.8,3,997101
Turkana,9.8,0,0,1.4,71.1,0,0,82.3,0.1,0,12,0.2,4.7,0.6,17.7,219588
West Pokot,15.7,0,0,1.2,77.4,0.7,0,95,0.3,0,4.3,0.4,0,0,5,183115
Samburu,28.3,0.2,0.3,0.4,67.6,0,0,96.8,0.1,0.3,2.2,0.4,0.1,0.1,3.2,95708
Trans Nzoia,47.6,0.1,0,6,41.1,0,0,94.8,2.9,0,0.1,0.8,1.3,0,5.2,266538
Uasin Gishu,72,0.2,0,6.4,20,0,0,98.7,0.6,0,0,0.7,0,0,1.3,351899
Elgeyo-Marakwet,37.8,0.4,0,9.3,52.1,0,0,99.5,0,0.1,0.3,0.1,0,0,0.5,110356
Nandi,50.5,0,0,6.2,41.2,0,0,97.8,1.8,0,0,0.4,0,0,2.2,226515
Baringo,36.5,0.1,0,9.6,48.4,0,0,94.6,0.3,0,2.1,0.5,0.1,2.3,5.4,157303
Laikipia,53.8,0.2,0,13.9,27.4,0,0,95.3,2.7,0.4,0.5,0.9,0.3,0,4.7,154631
Nakuru,68,0.1,0,8.2,21.4,0,0,97.8,1.1,0,0.1,1.1,0,0,2.2,673026
Narok,27.9,0,0.3,36.8,32.6,0.3,0,97.9,0.9,0,0.2,0.9,0,0,2.1,263863
Kajiado,73.4,0,0,3.4,22.3,0,0,99.1,0,0.5,0,0.1,0.4,0,0.9,371234
Kericho,46.3,0.7,0,10.5,41.3,0.3,0,99,0.9,0,0,0.1,0,0,1,233615
Bomet,37,0,0,3.4,59.2,0.3,0,99.9,0,0,0,0,0,0,0.1,219222
Kakamega,39.8,0.3,0,10.1,45.5,0.3,0,96,3.4,0.2,0,0.3,0,0,4,484205
Vihiga,43.4,0,0,12.6,30.9,0,0,86.8,13.2,0,0,0,0,0,13.2,160520
Bungoma,32.7,0,0,11.3,51.9,0.3,0,96.3,3.4,0,0.3,0,0,0,3.7,470168
Busia,30.9,0,0,1.9,63.1,0,0,95.9,2.9,0,0,0.9,0.3,0,4.1,216855
Siaya,27.4,0,0,4.2,66.5,0,0,98.1,1.8,0.1,0,0.1,0,0,1.9,247647
Kisumu,57.2,0,0,7.6,30.8,0,0,95.6,3.1,0,0,0.9,0.4,0,4.4,338619
Homa Bay,20.3,0.1,0.4,13.3,64.9,0,0,98.9,0.6,0.1,0,0.3,0.1,0,1.1,270043
Migori,32.2,0.1,0,19.1,43.1,0,0,94.5,3.4,0,0,2.2,0,0,5.5,267547
Kisii,55,0.5,0,0.3,34.5,0,0,90.2,8.9,0,0,0.6,0.2,0,9.8,371985
Nyamira,54.5,0,0,1.8,29.4,0,0,85.7,13,0,0,0.9,0.4,0,14.3,183594
Nairobi,95.2,2.4,0,0.3,0.6,0,0,98.5,0.4,0,0,1.1,0.1,0,1.5,1661533
